"County","Total Market Value","Total Actual Levy","Total County Tax Rate","Total Appraised Value (Total Taxable Value for FM/FC)","Total Appraised Value (Total Taxable Value for County Tax Purposes)"
"Anderson","$4,058,915,351","$15,833,018","$0.590892","$2,675,103,554","$2,679,692,570"
"Andrews","$5,154,109,977","$28,889,823","$0.603900","$4,877,521,855","$4,768,535,096"
"Angelina","$5,548,157,129","$18,372,078","$0.437121","$0","$4,202,972,959"
"Aransas","$3,023,164,864","$13,196,810","$0.466022","$2,850,101,038","$2,828,595,246"
"Archer","$1,843,359,643","$4,355,848","$0.664240","$651,667,245","$656,137,785"
"Armstrong","$793,708,310","$1,194,580","$0.641631","$185,634,300","$186,447,300"
"Atascosa","$5,523,291,628","$24,330,881","$0.599900","$4,127,088,068","$4,041,822,713"
"Austin","$6,346,953,623","$32,796,585","$0.547900","$6,025,975,830","$5,978,902,920"
"Bailey","$475,152,988","$3,213,386","$0.931200","$341,837,046","$345,612,009"
"Bandera","$4,057,373,950","$15,112,588","$0.676900","$2,276,632,497","$2,226,126,149"
"Bastrop","$9,047,889,615","$49,598,317","$0.579900","$0","$8,552,908,521"
"Baylor","$994,232,620","$1,349,039","$0.731720","$182,006,820","$184,856,830"
"Bee","$2,823,347,130","$10,996,660","$0.671050","$1,630,037,150","$1,638,785,810"
"Bell","$21,576,524,268","$82,045,501","$0.451100","$0","$18,187,874,411"
"Bexar","$176,434,000,000","$485,709,885","$0.301097","$165,979,000,000","$160,915,000,000"
"Blanco","$5,394,850,217","$6,459,331","$0.397000","$0","$1,627,035,437"
"Borden","$892,535,690","$2,961,870","$0.758750","$0","$390,361,720"
"Bosque","$3,145,251,055","$8,498,779","$0.522000","$0","$1,628,118,647"
"Bowie","$6,635,178,910","$21,953,769","$0.424322","$0","$5,173,846,430"
"Brazoria","$46,196,173,154","$127,970,292","$0.427914","$32,222,612,485","$29,527,749,586"
"Brazos","$21,482,454,036","$91,568,007","$0.485000","$0","$18,880,001,509"
"Brewster","$1,818,369,231","$3,586,456","$0.386400","$956,279,487","$928,171,798"
"Briscoe","$583,968,229","$1,090,605","$0.570000","$0","$191,334,128"
"Brooks","$1,340,845,923","$5,407,889","$0.940505","$589,947,833","$573,513,076"
"Brown","$4,015,528,575","$17,052,951","$0.614700","$2,762,457,776","$2,776,362,536"
"Burleson","$3,366,308,774","$8,073,842","$0.560000","$0","$1,664,709,666"
"Burnet","$9,367,491,636","$25,086,773","$0.390000","$6,433,110,332","$6,432,433,445"
"Caldwell","$3,576,867,106","$18,291,067","$0.775300","$2,347,256,902","$2,359,226,052"
"Calhoun","$4,338,353,678","$16,395,895","$0.490000","$0","$3,346,100,995"
"Callahan","$1,860,824,981","$4,814,351","$0.582046","$871,509,233","$810,262,276"
"Cameron","$20,769,664,116","$77,446,701","$0.414447","$0","$18,686,756,477"
"Camp","$1,140,784,931","$3,958,985","$0.468900","$0","$844,313,207"
"Carson","$2,026,986,480","$4,345,604","$0.628221","$687,198,560","$692,146,400"
"Cass","$2,880,720,700","$10,385,631","$0.573702","$1,932,498,126","$1,793,998,399"
"Castro","$1,769,071,410","$2,910,838","$0.599000","$484,206,020","$486,385,410"
"Chambers","$16,130,241,697","$47,299,771","$0.499495","$9,451,255,304","$9,473,090,584"
"Cherokee","$3,928,744,805","$16,224,519","$0.595000","$2,714,942,735","$2,731,754,513"
"Childress","$770,587,929","$2,856,455","$0.590000","$0","$484,144,896"
"Clay","$2,203,771,030","$5,605,211","$0.725000","$0","$773,132,580"
"Cochran","$480,943,415","$3,635,581","$1.025900","$352,901,529","$354,932,884"
"Coke","$1,022,873,060","$1,871,370","$0.507751","$366,368,106","$369,226,786"
"Coleman","$1,820,891,413","$4,586,817","$0.882800","$526,891,382","$516,981,850"
"Collin","$155,108,000,000","$250,093,451","$0.180785","$143,879,000,000","$138,338,000,000"
"Collingsworth","$707,004,800","$1,835,424","$0.948040","$192,429,880","$193,938,880"
"Colorado","$5,397,132,413","$11,830,000","$0.510000","$0","$2,319,607,751"
"Comal","$22,709,757,820","$63,119,286","$0.357921","$19,233,872,323","$17,295,201,347"
"Comanche","$2,688,258,229","$5,786,114","$0.629960","$911,017,401","$921,803,770"
"Concho","$1,052,036,423","$2,416,605","$0.901286","$266,436,887","$268,485,662"
"Cooke","$6,254,703,065","$17,976,475","$0.461100","$3,884,197,791","$3,898,609,849"
"Coryell","$4,298,638,502","$14,567,368","$0.545300","$0","$2,671,441,046"
"Cottle","$574,976,110","$1,354,222","$0.778700","$172,865,330","$174,029,760"
"Crane","$1,091,808,850","$7,636,285","$0.772729","$986,374,940","$988,363,620"
"Crockett","$1,664,796,250","$13,941,871","$0.950000","$1,465,646,030","$1,467,925,280"
"Crosby","$919,198,006","$2,327,122","$0.605700","$381,105,041","$384,651,690"
"Culberson","$2,055,896,360","$3,468,927","$0.185310","$1,875,970,810","$1,871,670,000"
"Dallam","$1,628,531,651","$3,216,597","$0.355000","$0","$906,083,633"
"Dallas","$293,207,000,000","$597,320,552","$0.243100","$0","$245,710,000,000"
"Dawson","$1,263,512,450","$6,685,600","$0.856621","$774,204,850","$781,825,830"
"Deaf Smith","$2,442,996,365","$7,493,783","$0.530000","$0","$1,413,921,342"
"Delta","$581,694,622","$2,070,539","$0.706961","$0","$292,878,758"
"Denton","$108,643,000,000","$222,017,782","$0.225574","$0","$98,423,480,585"
"DeWitt","$6,611,900,010","$22,161,832","$0.469370","$4,711,093,563","$4,725,163,753"
"Dickens","$747,551,590","$2,271,858","$0.850000","$0","$267,277,415"
"Dimmit","$6,706,507,383","$17,498,915","$0.310800","$5,668,988,864","$5,630,281,546"
"Donley","$838,813,465","$1,717,351","$0.699840","$243,464,722","$245,878,676"
"Duval","$2,560,741,164","$7,910,206","$1.100000","$726,775,271","$717,899,285"
"Eastland","$2,833,769,450","$7,330,016","$0.475350","$0","$1,542,025,025"
"Ector","$13,657,911,921","$47,578,712","$0.397000","$0","$11,984,562,160"
"Edwards","$1,767,229,944","$2,937,923","$0.686300","$426,762,056","$428,385,391"
